timestamp,stock,price,volume_ratio,pct_change,signal
2026-02-14 22:03:36,ULTRACEMCO,12963.0,3.09,-0.32,Neutral
2026-02-14 22:03:36,WIPRO,214.3800048828125,1.55,1.61,Neutral
2026-02-14 22:03:36,HCLTECH,1458.0,2.04,1.97,Neutral
2026-02-14 22:18:20,RELIANCE,1418.800048828125,1.2,-1.85,Neutral
2026-02-14 22:18:20,TCS,2692.199951171875,1.68,3.91,BUYING
2026-02-14 22:18:20,HDFCBANK,904.0,0.67,-1.09,Neutral
2026-02-14 22:18:20,INFY,1369.0999755859375,1.23,6.04,Neutral
2026-02-14 22:18:20,HINDUNILVR,2301.199951171875,1.09,-3.19,Neutral
2026-02-14 22:18:20,ICICIBANK,1415.0,1.23,-0.78,Neutral
2026-02-14 22:18:20,KOTAKBANK,421.8999938964844,0.51,-1.39,Neutral
2026-02-14 22:18:20,BHARTIARTL,1995.0,1.56,-0.94,Neutral
2026-02-14 22:18:20,ITC,313.6000061035156,1.55,-0.74,Neutral
2026-02-14 22:18:20,SBIN,1196.0999755859375,1.19,0.69,Neutral
2026-02-14 22:18:20,ASIANPAINT,2367.699951171875,0.99,-1.55,Neutral
2026-02-14 22:18:20,LT,4172.0,1.02,-0.42,Neutral
2026-02-14 22:18:20,AXISBANK,1330.199951171875,0.79,-0.68,Neutral
2026-02-14 22:18:20,MARUTI,15211.0,1.91,-0.69,Neutral
2026-02-14 22:18:20,SUNPHARMA,1699.0999755859375,2.15,-0.92,Neutral
2026-02-14 22:18:20,TITAN,4179.2001953125,1.53,-1.85,Neutral
2026-02-14 22:18:20,NESTLEIND,1283.9000244140625,1.55,-1.98,Neutral
2026-02-14 22:18:20,ULTRACEMCO,12963.0,3.09,-0.32,Neutral
2026-02-14 22:18:20,WIPRO,214.3800048828125,1.55,1.61,Neutral
2026-02-14 22:18:20,HCLTECH,1458.0,2.04,1.97,Neutral
2026-02-14 22:28:30,RELIANCE,1418.800048828125,1.2,-1.85,Neutral
2026-02-14 22:28:30,TCS,2692.199951171875,1.68,3.91,BUYING
2026-02-14 22:28:30,HDFCBANK,904.0,0.67,-1.09,Neutral
2026-02-14 22:28:30,INFY,1369.0999755859375,1.23,6.04,Neutral
2026-02-14 22:28:30,HINDUNILVR,2301.199951171875,1.09,-3.19,Neutral
2026-02-14 22:28:30,ICICIBANK,1415.0,1.23,-0.78,Neutral
2026-02-14 22:28:30,KOTAKBANK,421.8999938964844,0.51,-1.39,Neutral
2026-02-14 22:28:30,BHARTIARTL,1995.0,1.56,-0.94,Neutral
2026-02-14 22:28:30,ITC,313.6000061035156,1.55,-0.74,Neutral
2026-02-14 22:28:30,SBIN,1196.0999755859375,1.19,0.69,Neutral
2026-02-14 22:28:30,ASIANPAINT,2367.699951171875,0.99,-1.55,Neutral
2026-02-14 22:28:30,LT,4172.0,1.02,-0.42,Neutral
2026-02-14 22:28:30,AXISBANK,1330.199951171875,0.79,-0.68,Neutral
2026-02-14 22:28:30,MARUTI,15211.0,1.91,-0.69,Neutral
2026-02-14 22:28:30,SUNPHARMA,1699.0999755859375,2.15,-0.92,Neutral
